X,ScoreHack2D,RecoEff,CloneRate,GhostRate
0.001,0.124852279511,0.0,0.0,0.0
0.005,0.141658482969,0.000742929292929,0.0,0.00109492492801
0.01,0.196298514048,0.0641817241324,0.0,0.0167960006282
0.02,0.375060245418,0.371181710657,0.0,0.0749435934508
0.03,0.503915613414,0.539624995618,0.0,0.115648009661
0.04,0.596725499532,0.607006831327,6.25e-05,0.139514175621
0.05,0.6547495626,0.63104431078,0.0,0.155687587009
0.06,0.688859912613,0.638793474461,0.0001,0.169225080174
0.07,0.708129450705,0.637942341267,0.00035,0.178069411003
0.08,0.718295730002,0.632649147842,0.00035,0.186001717585
0.09,0.723405565124,0.624325707578,0.00035,0.193264932393
0.1,0.725305170496,0.61303838377,0.00035,0.198273173846
0.125,0.717515061437,0.584443777335,0.00025,0.202600265017
0.15,0.705821809712,0.558158816076,0.00039358974359,0.209035244438
0.17,0.695741626756,0.538210950788,0.000316666666667,0.213112557854
0.19,0.686233682233,0.521445077935,0.000316666666667,0.214480850123
