X,ScoreHack2D,RecoEff,CloneRate,GhostRate
0.001,0.193039014798,0.00220541020183,0.0,0.000985784806416
0.005,0.410759184018,0.288070646616,0.000746478006111,0.0281028497941
0.01,0.565230498611,0.54682191064,0.00142978687423,0.0508757642441
0.02,0.722994913039,0.694097395255,0.0012563216829,0.0732922732593
0.03,0.781972755432,0.712462849568,0.000725177041251,0.0916603980591
0.04,0.798643741699,0.69669829,0.000656640446794,0.111395713326
0.05,0.79744411408,0.668686904521,0.000261603970742,0.13183561687
0.06,0.791277602119,0.644670430315,0.00027783891547,0.145622919407
0.07,0.779472305025,0.611412568353,6.66666666667e-05,0.162896788191
0.08,0.765739253149,0.581684364719,9.10815939279e-05,0.176627633463
0.09,0.751365943327,0.552201705876,0.0,0.189841089626
0.1,0.736840662497,0.525359719421,0.000180952380952,0.20126938164
0.125,0.69927911167,0.4608602436,0.000114285714286,0.224713155969
0.15,0.663763569251,0.404025390833,0.000134571378278,0.243550795323
0.2,0.605507200744,0.323536613499,2.94117647059e-05,0.26513566993
0.25,0.555034584072,0.261365608561,0.00010101010101,0.275168353182
0.3,0.513911069188,0.217157196739,0.0,0.278162129813
0.4,0.446902202352,0.158098885556,0.0,0.27173596845
0.5,0.396427792019,0.117676930533,0.0,0.262298122195
