X,ScoreHack2D,RecoEff,CloneRate,GhostRate
0.001,0.124844179916,0.0,0.0,0.0
0.005,0.139315840373,0.0,0.0,0.000118055555556
0.01,0.171515399721,0.00286469363969,0.0,0.00429223040032
0.02,0.26137466826,0.048229356037,0.0,0.038206240367
0.03,0.330838458204,0.142796955633,0.0,0.0827422350697
0.04,0.384367827836,0.247938965541,9.09090909091e-05,0.124029703093
0.05,0.427926874582,0.330104051594,0.000595245440834,0.153838664389
0.06,0.463771702686,0.393864855578,0.00234924976984,0.172070507687
0.07,0.49415265268,0.439222534174,0.00213111928921,0.186435132747
0.08,0.519090673483,0.469087955148,0.0026488039738,0.197229219113
0.09,0.538267412897,0.484156979282,0.00234957126207,0.207647447616
0.1,0.555112719992,0.49502816602,0.00324713938023,0.210480731407
0.125,0.589237573662,0.49631527154,0.00286347027156,0.225152906678
0.15,0.61300060412,0.492921943055,0.00199095626596,0.236662359686
0.2,0.63682599087,0.461852090668,0.00124572233322,0.250096894085
0.25,0.630749144376,0.420017120393,0.00128110500611,0.265880390714
0.3,0.619422011752,0.382419416359,0.000836519036519,0.277035017013
0.4,0.582905752963,0.31205232818,0.000801226551227,0.290297383671
0.5,0.548032408445,0.265170211604,0.00025,0.293212682935
