X,ScoreHack2D,RecoEff,CloneRate,GhostRate
1,0.895423916008,0.82860880239,0.000225,0.0888500509209
2,0.906103766516,0.843043219547,0.000315909090909,0.0751734390309
3,0.920974223379,0.855222409595,0.0001,0.0667590012026
4,0.926817815579,0.859733619833,0.0,0.0628670595014
5,0.927624233614,0.860582568309,5.88235294118e-05,0.0627753260328
10,0.933140986986,0.863997423247,0.0,0.0605691307961
15,0.936856472687,0.865917832206,0.0001,0.0590033957571
20,0.93756430547,0.866609929776,0.000142857142857,0.058924889335
25,0.940045441225,0.869217743144,0.000166666666667,0.0570128662273
30,0.937851700512,0.866808198071,0.000142857142857,0.0601359958153
