X,ScoreHack2D,RecoEff,CloneRate,GhostRate
100,0.828786492975,0.815576266333,0.000301923076923,0.0923409436925
200,0.887220259795,0.899131704209,0.000497727272727,0.0273749206246
300,0.90455816741,0.918200987519,0.000512175324675,0.0154494627706
400,0.912512087925,0.927102998721,0.000449675324675,0.00933510737628
500,0.915698269939,0.929785390757,0.000306818181818,0.006806910165
600,0.916043552464,0.931120801588,0.000306818181818,0.00525148087207
700,0.914135378049,0.930733617531,0.000306818181818,0.00422668899728
800,0.909183793322,0.928506720305,0.000306818181818,0.00389173228732
850,0.907665612762,0.928378801002,0.000215909090909,0.00314124625375
900,0.905163223828,0.927333477453,0.000215909090909,0.00306783355533
1000,0.898768766391,0.924049708955,0.000215909090909,0.00291148434898
1250,0.882518757056,0.916475433029,0.000215909090909,0.00319061077811
1500,0.867995576624,0.910272072153,0.000215909090909,0.00230621323121
1750,0.850205786647,0.901158998707,0.000315909090909,0.00185514485514
2000,0.835065843143,0.89090656201,0.000215909090909,0.0013013999889
