X,ScoreHack2D,RecoEff,CloneRate,GhostRate
1,0.860400675234,0.758058911786,0.000242597680098,0.130471202926
2,0.878457188913,0.781405933226,4.16666666667e-05,0.117652267403
3,0.885010944512,0.791294687116,9.30735930736e-05,0.113106063557
4,0.888152629517,0.795645903751,9.34782608696e-05,0.110796525516
5,0.886738662185,0.793431514321,4.34782608696e-05,0.11216845361
10,0.893222198397,0.800855108834,0.000145833333333,0.106308855389
15,0.894140558918,0.801448213641,0.000132936507937,0.108062052328
20,0.891575578431,0.797515312941,0.000122222222222,0.112312580584
25,0.893010313811,0.798969185942,0.000208262550654,0.109744726476
30,0.893267679993,0.801812963524,0.000216666666667,0.109075012518
