X,ScoreHack2D,RecoEff,CloneRate,GhostRate
0.0,0.776752629653,0.653112030648,0.0,0.212680524917
0.1,0.78035558674,0.662240370754,0.0,0.200583062764
0.2,0.783994466183,0.671183453765,0.0,0.189132355525
0.3,0.788101142247,0.681175335884,0.0,0.177405387428
0.4,0.792549482805,0.690776652125,0.0,0.165267074331
0.5,0.797841750601,0.70156249681,0.0,0.152520604795
0.6,0.803423389361,0.712810785815,0.0,0.138820686349
0.7,0.809438517043,0.724292582611,0.0,0.125045879974
0.8,0.816022526883,0.736701710374,0.0,0.111109080874
0.85,0.820279328148,0.743497407153,0.0,0.102974648127
0.9,0.815753620117,0.740207649325,0.0,0.0928857640678
0.95,0.807667296081,0.733889160209,0.0,0.0780300052305
0.99,0.799906763838,0.73312208998,0.0,0.0552360602458
