X,ScoreHack2D,RecoEff,CloneRate,GhostRate
0.001,0.196573866229,0.000593961593962,0.0,0.000347222222222
0.005,0.415846534344,0.286579157259,0.000555288175876,0.0125176393438
0.01,0.576032808462,0.559142601181,0.000931522644023,0.0220681518215
0.02,0.747958775125,0.741463345156,0.00134108252858,0.0346492759434
0.03,0.818905500182,0.783703924206,0.000403409090909,0.0454688593785
0.04,0.847723393894,0.792002645604,0.000336111111111,0.0555322925956
0.05,0.858487763848,0.780906769585,0.00030202020202,0.0718964614333
0.06,0.862107123883,0.76647837186,0.0,0.0830630168937
0.07,0.860539027094,0.754812869105,0.000483766233766,0.0929313570288
0.08,0.857519350412,0.739043795657,0.000225,0.102443188906
0.09,0.852623646822,0.725199154616,0.000180555555556,0.109768832135
0.1,0.845148937964,0.707286904917,7.69230769231e-05,0.119176952794
0.125,0.827595520696,0.667438109229,9.09090909091e-05,0.13854058024
0.15,0.806265795043,0.628127480526,0.0,0.1544003438
0.2,0.766468256037,0.555343358546,0.0,0.18449911245
0.25,0.726827917644,0.491127900952,8.33333333333e-05,0.208771757431
0.3,0.691836057619,0.437733474167,0.0,0.225946615923
0.4,0.634564564657,0.360511563995,0.0,0.247417697499
0.5,0.584408546013,0.296584229526,0.0,0.262101322474
